date,title_neg,title_neu,title_pos,title_compound,content_neg,content_neu,content_pos,content_compound,comments_neg,comments_neu,comments_pos,comments_compound
2016-04-19,0.0,0.575,0.425,0.4019,0.072,0.872,0.056,-0.296,0.0,0.0,0.0,0.0
2016-04-20,0.00037612612612612615,0.5755810810810811,0.4240427927927928,0.40065,0.07205405405405405,0.8720157657657658,0.055932432432432434,-0.2972903153153153,0.0,0.0,0.0,0.0
2016-04-21,0.0007522522522522523,0.5761621621621621,0.42308558558558557,0.3994,0.0721081081081081,0.8720315315315316,0.05586486486486487,-0.2985806306306306,0.0,0.0,0.0,0.0
2016-04-22,0.0011283783783783785,0.5767432432432432,0.42212837837837835,0.39815,0.07216216216216216,0.8720472972972972,0.0557972972972973,-0.29987094594594593,0.0,0.0,0.0,0.0
2016-04-23,0.0015045045045045046,0.5773243243243242,0.42117117117117114,0.3969,0.07221621621621621,0.872063063063063,0.055729729729729734,-0.30116126126126125,0.0,0.0,0.0,0.0
2016-04-24,0.0018806306306306307,0.5779054054054054,0.42021396396396393,0.39565,0.07227027027027026,0.8720788288288288,0.05566216216216216,-0.30245157657657656,0.0,0.0,0.0,0.0
2016-04-25,0.002256756756756757,0.5784864864864865,0.4192567567567567,0.3944,0.07232432432432431,0.8720945945945946,0.05559459459459459,-0.3037418918918919,0.0,0.0,0.0,0.0
2016-04-26,0.002632882882882883,0.5790675675675675,0.41829954954954957,0.39315,0.07237837837837838,0.8721103603603604,0.055527027027027026,-0.3050322072072072,0.0,0.0,0.0,0.0
2016-04-27,0.0030090090090090092,0.5796486486486486,0.41734234234234235,0.39189999999999997,0.07243243243243243,0.8721261261261262,0.05545945945945946,-0.3063225225225225,0.0,0.0,0.0,0.0
2016-04-28,0.0033851351351351353,0.5802297297297296,0.41638513513513514,0.39065,0.07248648648648648,0.8721418918918918,0.05539189189189189,-0.3076128378378378,0.0,0.0,0.0,0.0
2016-04-29,0.0037612612612612614,0.5808108108108108,0.41542792792792793,0.38939999999999997,0.07254054054054053,0.8721576576576576,0.055324324324324325,-0.30890315315315314,0.0,0.0,0.0,0.0
2016-04-30,0.004137387387387388,0.5813918918918919,0.4144707207207207,0.38815,0.0725945945945946,0.8721734234234234,0.05525675675675676,-0.31019346846846846,0.0,0.0,0.0,0.0
2016-05-01,0.004513513513513514,0.5819729729729729,0.4135135135135135,0.38689999999999997,0.07264864864864864,0.8721891891891892,0.05518918918918919,-0.3114837837837838,0.0,0.0,0.0,0.0
2016-05-02,0.00488963963963964,0.582554054054054,0.4125563063063063,0.38565,0.0727027027027027,0.872204954954955,0.055121621621621625,-0.3127740990990991,0.0,0.0,0.0,0.0
2016-05-03,0.005265765765765766,0.583135135135135,0.4115990990990991,0.38439999999999996,0.07275675675675675,0.8722207207207208,0.05505405405405406,-0.3140644144144144,0.0,0.0,0.0,0.0
2016-05-04,0.005641891891891892,0.5837162162162162,0.4106418918918919,0.38315,0.07281081081081081,0.8722364864864864,0.05498648648648649,-0.3153547297297297,0.0,0.0,0.0,0.0
2016-05-05,0.0060180180180180185,0.5842972972972973,0.40968468468468466,0.38189999999999996,0.07286486486486486,0.8722522522522522,0.05491891891891892,-0.31664504504504504,0.0,0.0,0.0,0.0
2016-05-06,0.006394144144144145,0.5848783783783783,0.40872747747747745,0.38065,0.07291891891891891,0.872268018018018,0.05485135135135135,-0.31793536036036035,0.0,0.0,0.0,0.0
2016-05-07,0.006770270270270271,0.5854594594594594,0.40777027027027024,0.37939999999999996,0.07297297297297296,0.8722837837837838,0.054783783783783783,-0.31922567567567567,0.0,0.0,0.0,0.0
2016-05-08,0.007146396396396397,0.5860405405405404,0.40681306306306303,0.37815,0.07302702702702703,0.8722995495495496,0.05471621621621622,-0.320515990990991,0.0,0.0,0.0,0.0
2016-05-09,0.007522522522522523,0.5866216216216216,0.4058558558558558,0.37689999999999996,0.07308108108108108,0.8723153153153154,0.05464864864864865,-0.3218063063063063,0.0,0.0,0.0,0.0
2016-05-10,0.00789864864864865,0.5872027027027027,0.40489864864864866,0.37565,0.07313513513513513,0.872331081081081,0.05458108108108108,-0.3230966216216216,0.0,0.0,0.0,0.0
2016-05-11,0.008274774774774776,0.5877837837837837,0.40394144144144145,0.37439999999999996,0.07318918918918918,0.8723468468468468,0.054513513513513516,-0.32438693693693693,0.0,0.0,0.0,0.0
2016-05-12,0.008650900900900902,0.5883648648648648,0.40298423423423424,0.37315,0.07324324324324324,0.8723626126126126,0.05444594594594595,-0.32567725225225225,0.0,0.0,0.0,0.0
2016-05-13,0.009027027027027028,0.5889459459459458,0.40202702702702703,0.3719,0.0732972972972973,0.8723783783783784,0.05437837837837838,-0.32696756756756756,0.0,0.0,0.0,0.0
2016-05-14,0.009403153153153154,0.589527027027027,0.4010698198198198,0.37065,0.07335135135135135,0.8723941441441442,0.05431081081081081,-0.3282578828828829,0.0,0.0,0.0,0.0
2016-05-15,0.00977927927927928,0.5901081081081081,0.4001126126126126,0.36939999999999995,0.0734054054054054,0.8724099099099099,0.05424324324324324,-0.3295481981981982,0.0,0.0,0.0,0.0
2016-05-16,0.010155405405405406,0.5906891891891891,0.3991554054054054,0.36815,0.07345945945945945,0.8724256756756756,0.054175675675675675,-0.3308385135135135,0.0,0.0,0.0,0.0
2016-05-17,0.010531531531531533,0.5912702702702702,0.3981981981981982,0.3669,0.07351351351351351,0.8724414414414414,0.05410810810810811,-0.3321288288288288,0.0,0.0,0.0,0.0
